,price,polarity score,negative score,neutral score,positive score
2021-01-28,0.014615200230760905,0.07521386593204764,0.03839210284664832,0.8809559228650137,0.08065013774104678
2021-01-29,0.05081569023971918,0.0661341103640645,0.05716531933468595,0.852052937108146,0.09078237848501751
2021-01-30,0.03327263831056906,0.05115249822999838,0.08406399817942733,0.8091097400627144,0.1068008748862149
2021-01-31,0.03133950147507924,0.12023353216185668,0.0672804288247622,0.8111869256811204,0.12153312913106519
2021-02-01,0.03855425746140787,0.16147770239710574,0.058376978742650416,0.8146472184531918,0.12697376752600623
2021-02-02,0.03232141938298225,0.15151754611754636,0.06216108966108965,0.8091795366795386,0.1286589446589449
2021-02-03,0.03277207032727035,0.15954889502762443,0.0576858721389108,0.8166041831097082,0.1257079715864245
2021-02-04,0.045836032556882615,0.03930194174757282,0.09666019417475728,0.7881553398058254,0.11519417475728155
2021-02-05,0.0466136608927627,0.3370860674157304,0.04757528089887641,0.7964247191011238,0.15597528089887625
2021-02-06,0.04979249032268565,0.2637535211267605,0.04375352112676057,0.8164859154929573,0.13975
2021-02-07,0.06328071527128508,0.17453808789514272,0.061230531996915936,0.8117810331534311,0.12697764070932926
2021-02-08,0.07549238673394533,0.17008482188425014,0.056133918546493904,0.808152699806061,0.13571501480044953
2021-02-09,0.07669868657643945,0.17009430184804836,0.06020965092402469,0.7952477412730993,0.14454558521560604
2021-02-10,0.07242109837282805,0.19499082895143893,0.05164986081039291,0.8009938137952347,0.14735013918960743
2021-02-11,0.07201289231499995,0.18138615032430355,0.05925791682563922,0.7942483784814954,0.14649351392598237
2021-02-12,0.06734898194183915,0.17099022907900924,0.062361383824217013,0.7895345176873925,0.148108617734144
2021-02-13,0.06869880563716015,0.19951167990585414,0.05173874669020298,0.7984374816122397,0.14982406590173594
2021-02-14,0.06250382845929096,0.16157164826498457,0.060688485804416395,0.8016691640378538,0.13763742113564648
2021-02-15,0.05764495971345713,0.11933272774800678,0.06886027970199964,0.8057593778591038,0.1253791661220756
2021-02-16,0.05672882417540775,0.14747091334894624,0.056410304449648715,0.8161489461358308,0.12744028103044489
2021-02-17,0.05288926322473562,0.15144263240692182,0.07349239643418981,0.7897388568432091,0.1367718930256947
2021-02-18,0.05341140393552261,0.16270635666584204,0.058808063319317185,0.7979102151867417,0.14328097947069018
