,price,polarity score,negative score,neutral score,positive score
2021-01-28 21:00:00,0.02368391372336438,0.06616925675675675,0.03783783783783783,0.8994763513513517,0.0626891891891892
2021-01-28 22:00:00,0.02389899281738941,0.0860516666666666,0.03321969696969697,0.8837499999999995,0.08302424242424242
2021-01-28 23:00:00,0.026210158899095073,0.07155122749590828,0.04131996726677575,0.874960720130932,0.08371849427168578
2021-01-29 00:00:00,0.03773867145063341,0.04316932395466971,0.05685541227041813,0.8616342321219222,0.08151230949589688
2021-01-29 01:00:00,0.04357580472050507,0.049657802433786626,0.05463206871868285,0.8642630637079444,0.08110128847530411
2021-01-29 02:00:00,0.03849070654524974,0.08277067913786101,0.045903619357462386,0.856941032940219,0.09714965433102875
2021-01-29 03:00:00,0.04292983087294813,0.04513479289940835,0.06299628064243429,0.8497744716821617,0.08722874049027901
2021-01-29 04:00:00,0.07075463177531012,0.06063509234828505,0.05655936675461737,0.8549490765171496,0.08849564643799489
2021-01-29 05:00:00,0.06994932745308706,0.08362542372881393,0.056407122068138964,0.8447731552816296,0.09881852422530389
2021-01-29 06:00:00,0.05578337110844928,0.0732931499051233,0.05764667931688794,0.8465506641366208,0.09580702087286543
2021-01-29 07:00:00,0.05537689389078232,0.06994075531077912,0.0597372147915027,0.8388658536585337,0.10139634146341471
2021-01-29 08:00:00,0.05083651055430693,0.06438551457465809,0.0573242117787031,0.8550279595478875,0.08765080309339678
2021-01-29 09:00:00,0.04775244968224611,0.06503545751633986,0.057992647058823496,0.8558325163398691,0.08617238562091505
2021-01-29 10:00:00,0.03956391137955185,0.06918707507082164,0.05170077903682714,0.8544815864022637,0.09381657223796032
2021-01-29 11:00:00,0.046314385450373266,0.09587635893011223,0.04547109577221743,0.8574059534081097,0.0971264020707506
2021-01-29 12:00:00,0.049822660767185216,0.0691973657885962,0.05294398132710904,0.8582167389129715,0.08883627875958665
2021-01-29 13:00:00,0.05989689125397326,0.062567828987265,0.0567483323226197,0.8574590661006677,0.08579472407519714
2021-01-29 14:00:00,0.05295732223610584,0.06525676241771407,0.0531672651107121,0.8635804907241175,0.083254039497307
2021-01-29 15:00:00,0.057322956615017524,0.0779242494899447,0.0496403380938502,0.8647094141649629,0.08565053920139895
2021-01-29 16:00:00,0.053960915246588526,0.08344503718073094,0.053620756547041674,0.8532657613967027,0.0931131587455543
2021-01-29 17:00:00,0.05221961574791085,0.046238425302826375,0.06628555406011667,0.8439309107222973,0.0897842081650966
2021-01-29 18:00:00,0.045582868492986615,0.06542336701996566,0.06418116835099831,0.8419847177717527,0.09384175499137302
2021-01-29 19:00:00,0.04665267961577317,0.07547477419354852,0.0563203225806452,0.8495467741935472,0.09412548387096774
2021-01-29 20:00:00,0.04815271265004275,0.06851123305358323,0.05719238218205287,0.8488631375080703,0.09394383473208527
2021-01-29 21:00:00,0.051960672477495584,0.05529837420777082,0.06068007715624148,0.8528878478919809,0.08643510608983188
2021-01-29 22:00:00,0.05285306906832357,0.08301845170988353,0.06036640360766628,0.8490947012401355,0.09053889515219825
2021-01-29 23:00:00,0.049127706698414236,0.051673555641721484,0.06134587049243899,0.8514493989918566,0.08720511826289248
2021-01-30 00:00:00,0.04804660564468788,0.0514446436998584,0.07195469561113726,0.8353327041057109,0.09271495988673899
2021-01-30 01:00:00,0.04800734362430036,0.06767145531118374,0.07113008890968653,0.8284019653720164,0.1004726251754797
2021-01-30 02:00:00,0.04386330618689538,0.030692373485388412,0.08849322879543836,0.8049276550249453,0.1065841054882395
2021-01-30 03:00:00,0.039104420146548434,0.006412866407263287,0.10919325551232166,0.786654215304799,0.10415382619974058
2021-01-30 04:00:00,0.034237062103633545,0.05432138364779879,0.08123568354849396,0.8082353525322732,0.11052664680569335
2021-01-30 05:00:00,0.03397179137121905,0.03486429308565528,0.09435913312693486,0.7948513931888544,0.11078689370485034
2021-01-30 06:00:00,0.0315556063157606,0.020886828240252894,0.09875395152792411,0.792287144362487,0.10895574288724962
2021-01-30 07:00:00,0.031000625810634088,0.03527802433786685,0.0990050107372942,0.7886191839656405,0.11237222619899778
2021-01-30 08:00:00,0.03144878792345252,0.06234549950544017,0.08269139465875372,0.7980435212660729,0.11926706231454007
2021-01-30 09:00:00,0.03152040125064935,0.0992466487935656,0.06028150134048262,0.82801072386059,0.11172028596961585
2021-01-30 10:00:00,0.03643900444866813,0.06506483622350666,0.07493256262042398,0.8246213872832372,0.10045568400770716
2021-01-30 11:00:00,0.03346539677358757,0.07201295774647887,0.07098873239436623,0.8284169014084505,0.1006042253521126
2021-01-30 12:00:00,0.033540625797366504,0.1012491712707182,0.08134944751381219,0.802085635359116,0.11656491712707176
2021-01-30 13:00:00,0.03312883444688577,0.07317667364016733,0.07314644351464432,0.8303284518828445,0.0965251046025104
2021-01-30 14:00:00,0.034339901276463754,0.10405866666666665,0.06344615384615382,0.825169230769231,0.11138769230769223
2021-01-30 15:00:00,0.03276831928665565,0.0954281474820142,0.06510521582733814,0.8240692446043176,0.11083183453237404
2021-01-30 16:00:00,0.03246610670689415,0.014563660199265869,0.09754063974829574,0.8029701101206087,0.09949187205034087
2021-01-30 17:00:00,0.026870076645473074,0.06712353455818008,0.0778534558180228,0.8126264216972877,0.10907261592300958
2021-01-30 18:00:00,0.028473107387876118,0.0587757787325456,0.08158431793770138,0.8090515574650916,0.10936466165413544
2021-01-30 19:00:00,0.026796526880705683,0.04859184372858115,0.09001576422206999,0.7993783413296777,0.11060657984921166
2021-01-30 20:00:00,0.024542661035623702,0.00880699186991872,0.09238861788617887,0.8074699186991873,0.10011544715447161
